Player,Season,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Jeff Adrien,2012,25.0,8.0,0.0,7.9,0.9,2.0,0.43799999999999994,0.0,0.0,0.0,0.9,2.0,0.43799999999999994,0.43799999999999994,0.9,1.5,0.0,0.6,2.1,2.8,0.1,0.0,0.3,3.33,1.6,2.6
Arron Afflalo,2012,26.0,62.0,62.0,33.6,5.3,11.3,0.47100000000000003,1.4,3.6,0.39799999999999996,3.9,7.7,0.504,0.534,3.2,4.0,0.7979999999999999,0.6,2.5,3.2,2.4,0.6,0.2,0.71,2.2,15.2
Blake Ahearn,2012,27.0,4.0,0.0,7.5,1.0,3.5,0.28600000000000003,0.5,2.3,0.0,0.5,1.3,0.4,0.35700000000000004,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.77,1.0,2.5
Solomon Alabi,2012,23.0,14.0,0.0,8.7,0.9,2.6,0.361,0.0,0.0,0.0,0.9,2.6,0.361,0.361,0.5,0.6,0.0,1.1,2.3,3.4,0.2,0.1,0.6,2.5,0.8,2.4
Cole Aldrich,2012,23.0,26.0,0.0,6.7,0.8,1.6,0.524,0.0,0.0,0.0,0.8,1.6,0.524,0.524,0.5,0.5,0.0,0.5,1.3,1.8,0.1,0.3,0.6,3.33,0.8,2.2
LaMarcus Aldridge,2012,26.0,55.0,55.0,36.3,8.8,17.1,0.512,0.0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5.0,0.8140000000000001,2.7,5.3,8.0,2.4,0.9,0.8,0.5,2.8,21.7
Lavoy Allen,2012,22.0,41.0,15.0,15.2,1.9,4.1,0.473,0.0,0.0,0.0,1.9,4.1,0.473,0.473,0.3,0.3,0.0,1.1,3.0,4.2,0.8,0.3,0.4,2.0,1.8,4.1
Ray Allen,2012,36.0,46.0,42.0,34.0,4.9,10.7,0.45799999999999996,2.3,5.1,0.45299999999999996,2.6,5.6,0.46299999999999997,0.5660000000000001,2.1,2.3,0.915,0.3,2.8,3.1,2.4,1.1,0.2,0.67,1.8,14.2
Tony Allen,2012,30.0,58.0,57.0,26.3,3.6,7.7,0.469,0.1,0.4,0.308,3.5,7.3,0.479,0.478,2.4,3.0,0.8,1.7,2.3,4.0,1.4,1.8,0.6,0.62,2.4,9.8
Morris Almond,2012,26.0,4.0,0.0,16.8,1.5,4.3,0.353,0.3,0.8,0.33299999999999996,1.3,3.5,0.35700000000000004,0.382,0.3,0.8,0.33299999999999996,0.3,1.8,2.0,0.5,1.8,0.0,3.33,1.5,3.5
Al-Farouq Aminu,2012,21.0,66.0,21.0,22.4,2.3,5.5,0.41100000000000003,0.2,0.7,0.27699999999999997,2.1,4.8,0.431,0.429,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,0.71,2.1,6.0
Lou Amundson,2012,29.0,60.0,0.0,12.6,1.5,3.5,0.43,0.0,0.0,0.0,1.5,3.5,0.43,0.43,0.6,1.4,0.0,1.6,2.1,3.7,0.2,0.5,0.7,1.25,2.1,3.6
Chris Andersen,2012,33.0,32.0,1.0,15.2,1.8,3.4,0.546,0.0,0.0,0.0,1.8,3.4,0.546,0.546,1.6,2.6,0.0,1.5,3.1,4.6,0.2,0.6,1.4,2.0,1.6,5.3
Alan Anderson,2012,29.0,17.0,12.0,27.1,3.2,8.4,0.387,1.4,3.6,0.39299999999999996,1.8,4.8,0.38299999999999995,0.47200000000000003,1.7,2.0,0.853,0.5,1.5,2.0,1.5,0.3,0.2,0.67,2.1,9.6
James Anderson,2012,22.0,51.0,2.0,11.8,1.3,3.4,0.379,0.4,1.3,0.27899999999999997,0.9,2.1,0.44299999999999995,0.434,0.8,1.0,0.75,0.3,1.2,1.5,0.8,0.2,0.0,1.67,0.7,3.7
Ryan Anderson,2012,23.0,61.0,61.0,32.2,5.4,12.4,0.439,2.7,6.9,0.39299999999999996,2.7,5.5,0.496,0.5479999999999999,2.5,2.8,0.877,3.7,4.0,7.7,0.9,0.8,0.4,1.11,2.4,16.1
Carmelo Anthony,2012,27.0,55.0,55.0,34.1,8.0,18.6,0.43,1.2,3.7,0.335,6.8,14.9,0.45399999999999996,0.46299999999999997,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,0.38,2.8,22.6
Joel Anthony,2012,29.0,64.0,51.0,21.1,1.3,2.4,0.5589999999999999,0.0,0.0,0.0,1.3,2.4,0.5589999999999999,0.5589999999999999,0.8,1.1,0.0,1.6,2.3,3.9,0.1,0.6,1.3,1.43,2.0,3.4
Gilbert Arenas,2012,30.0,17.0,0.0,12.4,1.5,3.8,0.406,0.8,2.3,0.33299999999999996,0.8,1.5,0.52,0.508,0.4,0.6,0.7,0.1,0.9,1.1,1.1,0.6,0.1,1.43,2.1,4.2
Trevor Ariza,2012,26.0,41.0,41.0,32.9,4.1,9.8,0.41700000000000004,0.7,2.1,0.33299999999999996,3.4,7.7,0.44,0.45299999999999996,1.9,2.5,0.775,1.0,4.2,5.2,3.3,1.7,0.6,0.53,1.8,10.8
Omer Asik,2012,25.0,66.0,2.0,14.7,1.2,2.4,0.506,0.0,0.0,0.0,1.2,2.4,0.506,0.506,0.7,1.6,0.0,1.9,3.4,5.3,0.5,0.5,1.0,1.0,1.8,3.1
D.J. Augustin,2012,24.0,48.0,46.0,29.3,3.8,10.1,0.376,1.3,3.7,0.341,2.5,6.4,0.396,0.43799999999999994,2.2,2.5,0.875,0.5,1.8,2.3,6.4,0.8,0.0,0.43,1.4,11.1
Gustavo Ayon,2012,26.0,54.0,24.0,20.1,2.6,4.8,0.536,0.0,0.0,0.0,2.6,4.8,0.5379999999999999,0.536,0.7,1.2,0.619,1.6,3.3,4.9,1.4,1.0,0.9,1.11,2.2,5.9
Jeff Ayres,2012,24.0,20.0,1.0,5.3,0.8,1.8,0.41700000000000004,0.0,0.0,0.0,0.8,1.8,0.41700000000000004,0.41700000000000004,0.2,0.4,0.0,0.6,1.1,1.7,0.2,0.2,0.1,10.0,0.8,1.7
Kelenna Azubuike,2012,28.0,3.0,0.0,6.0,1.0,2.7,0.375,0.3,1.0,0.0,0.7,1.7,0.4,0.43799999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.77,0.3,2.3
Luke Babbitt,2012,22.0,40.0,4.0,13.4,1.8,4.3,0.41,1.1,2.5,0.43,0.7,1.8,0.384,0.535,0.4,0.5,0.85,0.4,2.0,2.4,0.4,0.3,0.1,1.43,1.2,5.1
Renaldo Balkman,2012,27.0,14.0,0.0,8.2,1.1,2.3,0.5,0.1,0.6,0.222,1.0,1.6,0.609,0.531,0.6,0.8,0.727,0.4,1.4,1.9,0.4,0.3,0.2,2.5,1.0,3.0
J.J. Barea,2012,27.0,41.0,11.0,25.2,4.1,10.2,0.4,1.3,3.5,0.371,2.8,6.7,0.415,0.46299999999999997,1.9,2.4,0.7759999999999999,0.3,2.4,2.8,5.7,0.5,0.0,0.4,1.5,11.3
Andrea Bargnani,2012,26.0,31.0,31.0,33.3,6.7,15.6,0.43200000000000005,1.1,3.7,0.29600000000000004,5.6,11.9,0.474,0.467,4.9,5.6,0.873,0.8,4.8,5.5,2.0,0.6,0.5,0.45,1.7,19.5
Matt Barnes,2012,31.0,63.0,16.0,22.9,2.8,6.1,0.452,0.7,2.2,0.33299999999999996,2.0,4.0,0.518,0.512,1.5,2.0,0.742,1.5,3.9,5.5,2.0,0.6,0.8,0.83,2.4,7.8
Brandon Bass,2012,26.0,59.0,39.0,31.7,5.1,10.7,0.479,0.0,0.0,0.0,5.1,10.7,0.479,0.479,2.2,2.8,0.0,1.6,4.6,6.2,0.9,0.6,0.9,0.91,2.3,12.5
Tony Battie,2012,35.0,27.0,11.0,10.9,0.7,1.9,0.373,0.0,0.0,0.0,0.7,1.9,0.38,0.373,0.1,0.1,1.0,0.3,2.2,2.5,0.6,0.1,0.2,10.0,1.0,1.6
Shane Battier,2012,33.0,65.0,10.0,23.1,1.7,4.5,0.387,1.0,2.8,0.33899999999999997,0.8,1.7,0.46799999999999997,0.493,0.4,0.6,0.622,0.9,1.5,2.4,1.3,1.0,0.5,1.67,1.6,4.8
Nicolas Batum,2012,23.0,59.0,34.0,30.4,4.9,10.9,0.451,1.8,4.6,0.391,3.1,6.2,0.496,0.534,2.3,2.7,0.836,1.4,3.2,4.6,1.4,1.0,1.0,0.67,1.8,13.9
Jerryd Bayless,2012,23.0,31.0,11.0,22.7,3.8,8.9,0.424,1.4,3.4,0.423,2.4,5.5,0.424,0.504,2.4,2.8,0.852,0.3,1.9,2.1,3.8,0.8,0.1,0.59,2.3,11.4
Michael Beasley,2012,23.0,47.0,7.0,23.1,4.7,10.6,0.445,0.8,2.1,0.376,3.9,8.4,0.462,0.483,1.3,2.0,0.642,0.8,3.6,4.4,1.0,0.4,0.4,0.59,1.8,11.5
Rodrigue Beaubois,2012,23.0,53.0,12.0,21.7,3.5,8.4,0.42200000000000004,0.7,2.5,0.28800000000000003,2.8,5.9,0.479,0.465,1.1,1.3,0.841,0.4,2.5,2.8,2.9,1.1,0.5,0.77,1.8,8.9
Marco Belinelli,2012,25.0,66.0,55.0,29.8,4.3,10.4,0.41700000000000004,1.6,4.3,0.377,2.7,6.1,0.445,0.495,1.5,2.0,0.7829999999999999,0.3,2.3,2.6,1.5,0.7,0.1,1.0,1.7,11.8
Raja Bell,2012,35.0,34.0,33.0,23.4,2.4,5.1,0.466,1.0,2.6,0.391,1.4,2.6,0.54,0.563,0.6,0.7,0.84,0.2,1.3,1.4,1.1,0.4,0.1,1.67,2.3,6.4
Mike Bibby,2012,33.0,39.0,4.0,14.3,0.9,3.2,0.282,0.7,2.2,0.318,0.2,1.0,0.205,0.391,0.2,0.2,0.75,0.1,1.4,1.5,2.1,0.5,0.1,2.0,1.2,2.6
Andris Biedrins,2012,25.0,47.0,35.0,15.7,0.8,1.4,0.609,0.0,0.0,0.0,0.8,1.4,0.609,0.609,0.0,0.2,0.0,1.0,2.8,3.7,0.3,0.5,1.0,3.33,2.7,1.7
Chauncey Billups,2012,35.0,20.0,20.0,30.4,4.2,11.4,0.364,2.4,6.3,0.384,1.8,5.2,0.34,0.469,4.3,4.8,0.895,0.2,2.3,2.5,4.0,0.5,0.2,0.53,2.0,15.0
Bismack Biyombo,2012,19.0,63.0,41.0,23.1,2.0,4.4,0.46399999999999997,0.0,0.0,0.0,2.0,4.4,0.46399999999999997,0.46399999999999997,1.1,2.3,0.0,1.8,4.0,5.8,0.4,0.3,1.8,0.91,2.3,5.2
DeJuan Blair,2012,22.0,64.0,62.0,21.3,4.2,7.9,0.534,0.0,0.0,0.0,4.2,7.9,0.535,0.534,1.1,1.9,0.613,2.4,3.1,5.5,1.2,0.9,0.2,0.71,2.6,9.5
Steve Blake,2012,31.0,53.0,5.0,23.3,1.9,5.1,0.377,1.0,3.0,0.335,0.9,2.1,0.436,0.47600000000000003,0.4,0.5,0.778,0.2,1.4,1.6,3.3,0.7,0.0,0.71,1.4,5.2
Andray Blatche,2012,25.0,26.0,13.0,24.1,3.6,9.4,0.38,0.1,0.3,0.28600000000000003,3.5,9.2,0.382,0.384,1.3,1.9,0.6729999999999999,1.6,4.2,5.8,1.1,0.8,0.7,0.71,2.1,8.5
Eric Bledsoe,2012,22.0,40.0,1.0,11.6,1.2,3.2,0.389,0.2,0.8,0.2,1.1,2.4,0.44799999999999995,0.413,0.7,1.1,0.636,0.6,1.1,1.6,1.7,0.8,0.4,0.83,1.5,3.3
Keith Bogans,2012,31.0,5.0,1.0,18.8,1.6,4.2,0.381,0.6,2.4,0.25,1.0,1.8,0.556,0.452,0.4,1.0,0.4,1.0,1.2,2.2,0.6,0.4,0.0,1.67,3.0,4.2
Andrew Bogut,2012,27.0,12.0,12.0,30.3,5.1,11.3,0.449,0.0,0.1,0.0,5.1,11.3,0.452,0.449,1.2,1.9,0.609,1.8,6.5,8.3,2.6,1.0,2.0,0.5,3.0,11.3
Matt Bonner,2012,31.0,65.0,2.0,20.4,2.4,5.4,0.44,1.6,3.8,0.42,0.8,1.5,0.49,0.59,0.2,0.3,0.762,0.4,2.8,3.3,0.9,0.2,0.3,5.0,1.0,6.6
Trevor Booker,2012,24.0,50.0,32.0,25.2,3.6,6.8,0.531,0.0,0.0,0.5,3.6,6.8,0.531,0.532,1.1,1.9,0.602,2.4,4.1,6.5,0.8,1.0,0.9,0.83,2.8,8.4
Carlos Boozer,2012,30.0,66.0,66.0,29.5,6.8,12.8,0.532,0.0,0.0,0.0,6.8,12.7,0.5329999999999999,0.532,1.4,2.1,0.693,1.7,6.8,8.5,1.9,1.0,0.4,0.59,2.5,15.0
Chris Bosh,2012,27.0,57.0,57.0,35.2,6.9,14.2,0.48700000000000004,0.2,0.6,0.28600000000000003,6.7,13.5,0.496,0.493,4.0,4.9,0.821,1.6,6.3,7.9,1.8,0.9,0.8,0.48,2.2,18.0
Earl Boykins,2012,35.0,8.0,0.0,13.9,1.5,4.5,0.33299999999999996,0.3,1.1,0.222,1.3,3.4,0.37,0.361,1.6,1.9,0.867,0.0,1.4,1.4,2.1,0.1,0.0,1.11,0.6,4.9
Craig Brackins,2012,24.0,14.0,1.0,6.3,0.6,2.4,0.273,0.2,0.6,0.33299999999999996,0.4,1.7,0.25,0.318,0.1,0.1,0.5,0.4,0.7,1.1,0.6,0.0,0.1,3.33,0.4,1.6
Avery Bradley,2012,21.0,64.0,28.0,21.4,3.1,6.3,0.498,0.3,0.8,0.40700000000000003,2.8,5.4,0.511,0.525,1.0,1.2,0.795,0.5,1.3,1.8,1.4,0.7,0.2,0.83,1.7,7.6
Elton Brand,2012,32.0,60.0,60.0,28.9,4.8,9.7,0.494,0.0,0.0,0.0,4.8,9.7,0.495,0.494,1.4,1.9,0.733,2.4,4.7,7.2,1.6,1.0,1.6,0.91,2.9,11.0
Corey Brewer,2012,25.0,59.0,17.0,21.8,3.4,7.8,0.434,0.6,2.2,0.26,2.8,5.7,0.5,0.47,1.5,2.2,0.6920000000000001,0.7,1.8,2.5,1.5,1.2,0.3,1.11,1.9,8.9
Ronnie Brewer,2012,26.0,66.0,43.0,24.8,2.9,6.7,0.42700000000000005,0.3,1.0,0.275,2.6,5.7,0.455,0.44799999999999995,0.8,1.5,0.56,1.1,2.4,3.5,2.1,1.1,0.3,1.11,1.0,6.9
Jon Brockman,2012,24.0,35.0,0.0,6.8,0.4,1.3,0.33299999999999996,0.0,0.0,0.0,0.4,1.3,0.341,0.33299999999999996,0.2,0.4,0.467,0.9,1.2,2.1,0.3,0.1,0.0,3.33,0.9,1.1
MarShon Brooks,2012,23.0,56.0,47.0,29.4,4.9,11.4,0.428,0.8,2.7,0.313,4.1,8.8,0.46299999999999997,0.465,2.0,2.6,0.764,1.3,2.3,3.6,2.3,0.9,0.3,0.48,2.1,12.6
Derrick Brown,2012,24.0,65.0,17.0,22.2,3.3,6.3,0.518,0.1,0.4,0.25,3.2,5.9,0.535,0.526,1.4,2.2,0.667,1.5,2.2,3.6,1.0,0.7,0.2,1.25,1.5,8.1
Kwame Brown,2012,29.0,9.0,3.0,20.8,2.3,4.4,0.525,0.0,0.0,0.0,2.3,4.4,0.525,0.525,1.7,3.8,0.0,1.8,4.6,6.3,0.4,0.9,0.0,0.62,2.3,6.3
Shannon Brown,2012,26.0,59.0,19.0,23.7,4.3,10.1,0.42,1.2,3.2,0.36200000000000004,3.1,6.9,0.446,0.47700000000000004,1.4,1.7,0.8079999999999999,0.6,2.0,2.7,1.2,0.7,0.3,0.91,1.1,11.0
Kobe Bryant,2012,33.0,58.0,58.0,38.5,9.9,23.0,0.43,1.5,4.9,0.303,8.4,18.1,0.46399999999999997,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,0.29,1.8,27.9
Chase Budinger,2012,23.0,58.0,9.0,22.4,3.6,8.1,0.442,1.5,3.8,0.402,2.1,4.3,0.47600000000000003,0.535,0.9,1.2,0.7709999999999999,0.7,3.1,3.7,1.3,0.5,0.1,1.11,1.1,9.6
Alec Burks,2012,20.0,59.0,0.0,15.9,2.6,6.1,0.429,0.3,0.8,0.33299999999999996,2.3,5.3,0.442,0.45,1.8,2.4,0.727,1.0,1.3,2.2,0.9,0.5,0.1,1.11,1.4,7.2
Caron Butler,2012,31.0,63.0,63.0,29.7,4.6,11.2,0.40700000000000003,1.5,4.1,0.358,3.1,7.1,0.435,0.47200000000000003,1.4,1.7,0.813,0.7,3.0,3.7,1.2,0.8,0.1,0.83,2.0,12.0
Jimmy Butler,2012,22.0,42.0,0.0,8.5,0.8,1.9,0.405,0.0,0.3,0.182,0.7,1.6,0.441,0.418,1.0,1.3,0.768,0.5,0.8,1.3,0.3,0.3,0.1,3.33,0.5,2.6
Rasual Butler,2012,32.0,34.0,14.0,13.3,1.2,3.9,0.308,0.6,2.3,0.273,0.6,1.6,0.35700000000000004,0.387,0.2,0.4,0.583,0.2,1.8,1.9,0.6,0.2,0.1,2.5,1.1,3.2
Andrew Bynum,2012,24.0,60.0,60.0,35.2,7.4,13.3,0.5579999999999999,0.0,0.1,0.2,7.4,13.2,0.56,0.5579999999999999,3.9,5.6,0.6920000000000001,3.2,8.6,11.8,1.4,0.5,1.9,0.4,1.7,18.7
