team,wk,season,fg.,ft.,X3p,trb,ast,stl,blk,tov,pts
Delonte's Donuts,1,1,0.419,0.8673,33,132,88,21,17,53,392
"Paul George, John and Ringo",1,1,0.4479,0.7538,19,187,94,40,19,70,461
Team Broucek,1,1,0.4428,0.7067,18,153,129,38,18,83,426
Conor's Tomcats,1,1,0.4305,0.8,23,186,127,38,19,65,363
Windy City Poohdinis,1,1,0.4676,0.7349,17,218,98,39,24,81,651
Double Double,1,1,0.4825,0.702,31,201,97,28,38,48,523
Conquest Pain,1,1,0.433,0.7118,24,200,117,36,29,89,507
Sami's Mannschaft,1,1,0.463,0.7684,30,208,79,27,25,57,441
Team Sarkarati,1,1,0.4974,0.7658,29,203,88,28,26,49,492
No Look No Pass,1,1,0.4688,0.7768,45,210,78,26,26,56,492
Delonte's Donuts,2,1,0.4747,0.7967,63,196,140,51,18,101,593
Team Sarkarati,2,1,0.4121,0.8289,31,244,128,40,34,83,537
Windy City Poohdinis,2,1,0.4781,0.7671,31,247,137,43,33,89,745
Team Broucek,2,1,0.443,0.7511,44,249,167,71,34,107,741
"Paul George, John and Ringo",2,1,0.5044,0.7153,26,204,111,43,17,81,589
Conquest Pain,2,1,0.4536,0.814,31,246,159,47,26,81,611
Conor's Tomcats,2,1,0.4127,0.8052,56,275,194,45,38,95,610
Sami's Mannschaft,2,1,0.441,0.7937,53,262,99,32,11,82,631
Double Double,2,1,0.4585,0.8176,34,289,148,32,49,71,641
No Look No Pass,2,1,0.4644,0.7857,55,250,106,36,34,102,647
Double Double,3,1,0.4498,0.7972,30,291,129,32,34,72,556
Delonte's Donuts,3,1,0.4767,0.7478,78,181,127,46,17,90,654
Team Sarkarati,3,1,0.5035,0.8129,42,195,110,39,28,57,594
Conquest Pain,3,1,0.4531,0.7584,52,253,147,30,38,80,667
Sami's Mannschaft,3,1,0.4868,0.7829,35,265,148,35,22,66,598
Team Broucek,3,1,0.4324,0.784,52,210,132,45,20,96,627
No Look No Pass,3,1,0.4786,0.7903,42,239,109,26,25,72,542
Windy City Poohdinis,3,1,0.4369,0.7486,31,207,105,41,30,82,584
Conor's Tomcats,3,1,0.4678,0.8085,41,226,143,41,34,63,547
"Paul George, John and Ringo",3,1,0.4736,0.7323,33,176,115,19,14,52,502
Windy City Poohdinis,4,1,0.4403,0.7857,35,222,156,31,21,84,576
Delonte's Donuts,4,1,0.4391,0.8391,43,183,133,50,7,81,498
No Look No Pass,4,1,0.4649,0.8514,35,238,112,46,31,66,585
Sami's Mannschaft,4,1,0.4678,0.7832,50,252,130,38,15,83,656
Conquest Pain,4,1,0.4436,0.8151,49,229,145,33,24,83,624
Conor's Tomcats,4,1,0.4604,0.6886,41,273,148,53,27,85,586
Team Sarkarati,4,1,0.5042,0.731,33,231,133,46,24,75,638
Double Double,4,1,0.4455,0.7566,34,285,159,32,28,88,599
Team Broucek,4,1,0.4754,0.7368,33,216,133,43,27,76,589
"Paul George, John and Ringo",4,1,0.4353,0.7,25,178,82,22,9,53,404
Delonte's Donuts,5,1,0.4513,0.8489,36,234,151,45,21,76,608
No Look No Pass,5,1,0.4581,0.8372,43,247,125,34,28,62,577
Double Double,5,1,0.4764,0.7616,34,277,166,48,35,77,613
Conor's Tomcats,5,1,0.4384,0.7207,44,259,121,45,36,69,508
"Paul George, John and Ringo",5,1,0.5,0.7172,63,195,113,37,24,75,649
Sami's Mannschaft,5,1,0.4754,0.7107,63,254,98,38,35,81,633
Team Broucek,5,1,0.4836,0.8235,26,207,157,53,23,100,636
Conquest Pain,5,1,0.4422,0.7181,42,242,171,45,28,81,659
Windy City Poohdinis,5,1,0.458,0.8188,27,185,119,32,22,72,562
Team Sarkarati,5,1,0.4667,0.7246,22,220,111,42,25,84,521
Team Broucek,6,1,0.4763,0.7874,40,196,175,45,25,68,542
Delonte's Donuts,6,1,0.4645,0.8378,41,226,136,37,14,83,623
Conquest Pain,6,1,0.4432,0.7237,40,243,148,39,25,95,634
Windy City Poohdinis,6,1,0.4392,0.8117,30,182,137,28,12,86,545
Sami's Mannschaft,6,1,0.4517,0.7895,37,228,104,37,22,82,582
Team Sarkarati,6,1,0.4909,0.75,36,215,115,49,30,65,620
Conor's Tomcats,6,1,0.4483,0.7572,45,305,174,64,39,111,644
No Look No Pass,6,1,0.4571,0.8421,43,225,110,38,33,74,571
"Paul George, John and Ringo",6,1,0.4606,0.7833,63,183,121,28,21,76,601
Double Double,6,1,0.4891,0.7427,45,353,177,52,42,88,754
Delonte's Donuts,7,1,0.4698,0.8516,59,211,135,40,22,104,682
